model,n_sessions,valid,frame_break,content_filter,attrition,incomplete,recognition,cost,validity_rate,turn_parse_rate,reasoning_visible_rate
amazon/nova-lite-v1,108,71,3,4,30,0,0,0.39590322,0.6574074074074074,0.911648177496038,0.0
amazon/nova-pro-v1,108,66,16,13,13,0,8,2.7673632,0.6111111111111112,0.8849018280297901,0.0
anthropic/claude-fable-5,74,0,0,74,0,0,0,0.0,0.0,0.0,0.0
anthropic/claude-haiku-4.5,123,1,77,0,45,0,122,2.944278,0.008130081300813009,0.48390243902439023,0.1024390243902439
anthropic/claude-opus-5,74,28,0,46,0,0,0,5.874265,0.3783783783783784,0.5015723270440252,0.0770440251572327
anthropic/claude-sonnet-5,123,102,21,0,0,0,12,11.795178,0.8292682926829268,0.9983202687569989,0.048712206047032476
bytedance-seed/seed-2-1-turbo,123,118,5,0,0,0,0,2.77556,0.959349593495935,0.9957136733819117,0.05615087869695671
bytedance-seed/seed-2.0-mini,123,123,0,0,0,0,0,1.3556967,1.0,0.9994892747701737,0.122829417773238
cohere/command-a,90,87,3,0,0,0,0,24.39343,0.9666666666666667,0.9980781550288277,0.0
deepseek/deepseek-chat-v3-0324,108,74,18,0,16,0,16,1.20837492,0.6851851851851852,0.9354055366682856,0.0
deepseek/deepseek-v4-flash-0731,123,117,6,0,0,0,2,0.195123944496,0.9512195121951219,0.9947003668976763,0.1651039543416225
deepseek/deepseek-v4-pro-0813,123,121,2,0,0,0,0,3.27498684,0.983739837398374,0.9852280025690431,0.17212588310854207
google/gemini-2.5-pro,123,79,0,0,44,0,0,26.369422125,0.6422764227642277,0.8714596949891068,0.9906629318394025
google/gemini-3.1-flash-lite,123,121,2,0,0,0,0,2.750542425,0.983739837398374,1.0,0.10710633946830266
google/gemini-3.5-flash,123,117,6,0,0,0,1,12.669294,0.9512195121951219,0.9774193548387097,0.9774193548387097
google/gemini-3.7-flash,123,122,1,0,0,0,0,1.565410125,0.991869918699187,0.9980632666236281,0.8211749515816655
meta-llama/llama-3.3-70b-instruct,108,101,7,0,0,0,0,0.558222054,0.9351851851851852,0.9941427050053249,0.0
meta-llama/llama-4-maverick,108,99,0,0,9,0,0,1.863718386,0.9166666666666666,0.9823477493380406,0.0
microsoft/phi-4,90,66,20,0,4,0,3,0.6547097199999999,0.7333333333333333,0.9940413599719593,0.0
minimax/minimax-m3,123,76,43,0,4,0,48,0.750337988,0.6178861788617886,0.971560016729402,0.07904642409033877
mistralai/mistral-medium-3-5,123,119,4,0,0,0,2,8.827215,0.967479674796748,1.0,0.09587471352177235
mistralai/mistral-small-2603,123,118,1,0,4,0,0,0.37080906,0.959349593495935,0.9861538461538462,0.08846153846153847
moonshotai/kimi-k2.5,123,101,20,0,2,0,18,1.934684815,0.8211382113821138,0.9949367088607595,0.0379746835443038
moonshotai/kimi-k3,123,106,16,0,1,0,13,11.68800296,0.8617886178861789,0.9931087289433385,0.02335375191424196
nvidia/nemotron-3-super-120b-a12b,123,123,0,0,0,0,0,1.1592254675,1.0,0.9997465145754119,0.12395437262357414
nvidia/nemotron-3-ultra-550b-a55b,123,116,2,0,5,0,2,5.165530725,0.943089430894309,0.9794336810730253,0.07540983606557378
openai/gpt-4o,108,95,13,0,0,0,0,7.5061175,0.8796296296296297,0.9846639603067208,0.0
openai/gpt-5.6-luna,123,123,0,0,0,0,0,0.061829475,1.0,1.0,0.0029985007496251873
openai/gpt-5.6-sol,74,74,0,0,0,0,0,2.136082,1.0,1.0,0.0019880715705765406
openai/gpt-5.6-terra,123,123,0,0,0,0,0,0.80558665,1.0,0.982642237222758,0.0028929604628736743
qwen/qwen3-235b-a22b-2507,108,95,1,0,12,0,0,0.9309243635,0.8796296296296297,0.9689745264532985,0.0
qwen/qwen3.8-27b,123,107,13,0,3,0,11,3.8436124499999997,0.8699186991869918,0.9932637251599865,0.05052206130010104
qwen/qwen3.8-max,123,86,37,0,0,0,38,4.719364,0.6991869918699187,0.9076042518397384,1.0
tencent/hy3,123,123,0,0,0,0,0,0.6567768064,1.0,0.9989743589743589,0.12512820512820513
thinkingmachines/inkling,123,115,0,0,8,0,0,2.60605416,0.9349593495934959,0.9711407568744895,0.09365641165260005
thinkingmachines/inkling-small,123,123,0,0,0,0,0,0.9613692,1.0,0.999244142101285,0.02305366591080877
x-ai/grok-4.20,123,123,0,0,0,0,0,3.4016958,1.0,1.0,0.07428264950388844
x-ai/grok-4.6,123,53,70,0,0,0,8,3.328886,0.43089430894308944,0.9546142208774584,0.8940998487140696
xiaomi/mimo-v2.5,123,60,60,1,2,0,56,0.1956834736,0.4878048780487805,0.9751461988304093,0.4468810916179337
xiaomi/mimo-v2.5-pro,123,72,51,0,0,0,33,0.38218192616,0.5853658536585366,0.9959370238699847,0.1782630777044185
z-ai/glm-4.7-flash,123,123,0,0,0,0,1,0.3207961045,1.0,0.997948717948718,0.14435897435897435
z-ai/glm-5.2,123,102,21,0,0,0,5,1.64620618396,0.8292682926829268,0.9989165763813651,0.07836764174792343
