,amazon/nova-lite-v1,amazon/nova-pro-v1,anthropic/claude-opus-5,anthropic/claude-sonnet-5,bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2.0-mini,cohere/command-a,deepseek/deepseek-chat-v3-0324,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-pro-0813,google/gemini-2.5-pro,google/gemini-3.1-flash-lite,google/gemini-3.5-flash,google/gemini-3.7-flash,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick,microsoft/phi-4,minimax/minimax-m3,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603,moonshotai/kimi-k2.5,moonshotai/kimi-k3,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-ultra-550b-a55b,openai/gpt-4o,openai/gpt-5.6-luna,openai/gpt-5.6-sol,openai/gpt-5.6-terra,qwen/qwen3-235b-a22b-2507,qwen/qwen3.8-27b,qwen/qwen3.8-max,tencent/hy3,thinkingmachines/inkling,thinkingmachines/inkling-small,x-ai/grok-4.20,x-ai/grok-4.6,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,z-ai/glm-4.7-flash,z-ai/glm-5.2
amazon/nova-lite-v1,0.0,0.6442664303373711,1.0,0.8444971548115714,0.4809257651248374,0.1072396158487603,0.11990228974550884,0.649964439690582,0.6025366221455953,0.26809880773087486,0.5163336869169143,0.1133467515003087,0.8314685840376935,0.8567546819683542,0.8014648830815674,0.1983370362241535,0.24182258486034502,0.4282354951984944,0.78756865844303,0.11858718492783678,0.21704904550011758,0.27202216120054584,0.1072396158487603,0.14167135163378924,0.7270414880619261,1.0,1.0,1.0,0.13649922762018302,0.4856680343665108,0.9567588172321297,0.14347121465731247,0.159207592172526,0.38990724646429065,0.11972403854370148,1.0,0.4161490663797476,0.7128871601123824,0.12439267360918696,0.3068359898117349
amazon/nova-pro-v1,0.6442664303373711,0.0,0.8001056702702978,0.1716188135513144,0.19036433446465206,0.7826001771176381,0.7842583426831768,0.5199783320397682,0.3270713409476862,0.6747052758973251,0.5623624845509535,0.7826001771176381,0.23243124728321982,0.2537894362447049,0.31792505408561844,0.7746072477686754,0.8051178181843316,0.5813352268933928,0.5945507028477787,0.7853051779759765,0.7659158377014775,0.2937936370477,0.7826001771176381,0.4659456200032183,0.3880650222122655,0.9164033096295613,0.9314992905787924,0.9249870591667271,0.758112587309449,0.6325541999207063,0.6721855607530435,0.790094718030815,0.7182117484059526,0.3597105373207979,0.749999340375729,0.9267505021797477,0.5270564332503335,0.3142823758644519,0.7858139356759655,0.39094814308905884
anthropic/claude-opus-5,1.0,0.8001056702702978,0.0,1.0,1.0,1.0,1.0,1.0,0.844695873371544,0.7150492557409567,1.0,1.0,0.9100559822354629,0.8446958733715438,1.0,1.0,1.0,0.8940382015170766,0.9053501781192621,1.0,1.0,1.0,1.0,1.0,0.8049932735054937,0.5350522908724844,0.5,0.36902282695177757,1.0,0.8791383285965838,0.6056041416693608,1.0,1.0,0.5540157730728,1.0,1.0,0.8697234462251996,1.0,1.0,1.0
anthropic/claude-sonnet-5,0.8444971548115714,0.1716188135513144,1.0,0.0,0.2555948291547003,0.9506471701826222,1.0,0.5931866629147651,0.406420269278499,0.843843920574585,0.6650584171660355,0.9684500593730873,0.14750307602424417,0.2983696386240774,0.2948747634408192,1.0,1.0,0.7318559638057961,0.6136118793287841,0.9049271884157765,0.8572263339834313,0.4603559339327754,1.0,0.6527061053799331,0.42062180998183213,1.0,1.0,0.9635970505210881,0.9746672559175504,0.7403150585618151,0.7594977463799898,0.9700186607451543,0.8961175551139631,0.5537281107378934,0.9700186607451543,1.0,0.598240008326871,0.38240383793158933,0.9506471701826222,0.5432789994002949
bytedance-seed/seed-2-1-turbo,0.4809257651248374,0.19036433446465206,1.0,0.2555948291547003,0.0,0.603199276673152,0.5824165725271767,0.49853077698243575,0.3133759201880701,0.5851284189150135,0.35315358533314906,0.6210381872511558,0.28537930190704003,0.464323693436732,0.3171581127081746,0.6594061102965564,0.6181287297361573,0.4780766661572458,0.5004213472302942,0.5420394251548233,0.5374939482831693,0.2140838829805732,0.6514394864681682,0.31718499288952995,0.39132037923285584,1.0,1.0,1.0,0.6287019415778758,0.4338263843021655,0.8344385681620686,0.6247109034588311,0.5622914126358826,0.22321685502983094,0.6364464224020184,1.0,0.42325851335320025,0.3502830052242657,0.6098687470665597,0.30285265211470314
bytedance-seed/seed-2.0-mini,0.1072396158487603,0.7826001771176381,1.0,0.9506471701826222,0.603199276673152,0.0,0.014166260034614343,0.7735155401841993,0.6910302884643201,0.32139812447143673,0.5805432243032205,0.040268048726923265,0.9552668414954226,1.0,0.9516831606044803,0.25273017564015293,0.15460765522979117,0.42333541483320897,0.8542499093269934,0.04106455796269789,0.15646313839306042,0.3197606783049475,0.011684096957494783,0.15485779207905967,0.8409072174723052,1.0,1.0,1.0,0.1002589030563144,0.5394245814250631,1.0,0.09177191057511808,0.11248585777452859,0.4744067971332728,0.051849057021476776,1.0,0.5303317253005563,0.9116764654926932,0.0230937668705759,0.4341851119355895
cohere/command-a,0.11990228974550884,0.7842583426831768,1.0,1.0,0.5824165725271767,0.014166260034614343,0.0,0.7594862994931851,0.7169695989329599,0.27731376503658034,0.539920035801685,0.006845252211476099,1.0,1.0,1.0,0.11314588063462849,0.14138714957245196,0.43013000483775665,0.8815532084382933,0.02749959336794768,0.1546671577450316,0.36215411800378333,0.014166260034614343,0.14173166647469163,0.8610904546986345,1.0,1.0,1.0,0.03492735121583762,0.45087335157555897,1.0,0.05523856031169242,0.1373474391854768,0.4042378229332222,0.027475455447214393,1.0,0.4880387512514198,0.9116764654926932,0.03501970294517239,0.39707816302199817
deepseek/deepseek-chat-v3-0324,0.649964439690582,0.5199783320397682,1.0,0.5931866629147651,0.49853077698243575,0.7735155401841993,0.7594862994931851,0.0,0.3779242706593077,0.5811107600080687,0.451387633557529,0.7599461561146184,0.5371889026086236,0.5502043601150052,0.5154542475901482,0.7682010914455842,0.7417110263210503,0.6329818118765825,0.4922114966806457,0.774562375476999,0.6205286685998396,0.4922536135699452,0.7735155401841993,0.5787474397198976,0.4404211195251279,0.9478893784900798,0.9309227845200521,0.9372484497457736,0.736307585912215,0.633435666438808,0.7675290006173558,0.7764191627379159,0.6839590651018046,0.5240844002475731,0.7528404717517183,0.913148964150133,0.5403822806804774,0.5022301243030731,0.7771034095991751,0.4306864214097198
deepseek/deepseek-v4-flash-0731,0.6025366221455953,0.3270713409476862,0.844695873371544,0.406420269278499,0.3133759201880701,0.6910302884643201,0.7169695989329599,0.3779242706593077,0.0,0.5550363409265274,0.4103812961391731,0.70960943897175,0.3786301370567433,0.5270109070499708,0.2929618254082162,0.7606507781813815,0.7392360970992696,0.5378407884745742,0.4830834679809051,0.646277612992797,0.5774755775279851,0.34898212286438773,0.7309440437917983,0.4530275447321213,0.3254297868358575,1.0,1.0,0.9770038722097101,0.7061041947388847,0.5279746652081204,0.8096002594420056,0.7187811406548882,0.6149326275704067,0.3486213588744799,0.6990431289307218,1.0,0.44241025260865274,0.3840916508758386,0.6950074813721946,0.3892062023013852
deepseek/deepseek-v4-pro-0813,0.26809880773087486,0.6747052758973251,0.7150492557409567,0.843843920574585,0.5851284189150135,0.32139812447143673,0.27731376503658034,0.5811107600080687,0.5550363409265274,0.0,0.5481739573806791,0.3376820966502712,0.7912177302072697,0.8199904717007138,0.813413284243076,0.43521307766843104,0.3648930537721951,0.5305270234023165,0.7077545090856381,0.3071684311077327,0.3525434734399884,0.396724734045055,0.3414766424223567,0.34240999193407085,0.7040243941906302,0.8892619129894831,0.8979116809350205,0.8715503044375653,0.34370287688701184,0.47536873884252234,0.7949475585544686,0.3441550746967195,0.34190931742401376,0.44811426369377666,0.33518314152380785,0.910055982235463,0.5147322023961467,0.8289788910654456,0.32260159787965836,0.45496857232972926
