a,b,dist,size
6.0,11.0,0.006845252211476099,2.0
5.0,22.0,0.011684096957494783,2.0
38.0,41.0,0.02923844682682048,3.0
40.0,42.0,0.03374646926646304,5.0
19.0,43.0,0.05501474740961341,6.0
34.0,44.0,0.06255994772056922,7.0
31.0,45.0,0.08907547291486398,8.0
28.0,46.0,0.09998194147148913,9.0
0.0,47.0,0.12115584581128432,10.0
32.0,48.0,0.1437892993182496,11.0
3.0,12.0,0.14750307602424417,2.0
15.0,16.0,0.16226480008284155,2.0
23.0,49.0,0.16520302522575875,12.0
25.0,35.0,0.1778746432337842,2.0
1.0,4.0,0.19036433446465206,2.0
20.0,52.0,0.1957173541529913,13.0
51.0,55.0,0.21628232418128052,15.0
21.0,39.0,0.23185580526951563,2.0
50.0,54.0,0.23625604797406863,4.0
26.0,27.0,0.25303886893744926,2.0
14.0,37.0,0.254353410212303,2.0
24.0,60.0,0.30429177403566926,3.0
33.0,57.0,0.3154725383361381,3.0
13.0,58.0,0.3239490094220422,5.0
8.0,61.0,0.33416108770663744,4.0
9.0,56.0,0.33571663150967657,16.0
10.0,62.0,0.3662388558912295,4.0
17.0,29.0,0.3837060283649259,2.0
63.0,64.0,0.385724414447746,9.0
30.0,59.0,0.39932823198846423,3.0
66.0,67.0,0.4008209143154094,6.0
36.0,70.0,0.4253594154927429,7.0
65.0,71.0,0.45880777053744953,23.0
53.0,69.0,0.47595198613487955,5.0
7.0,18.0,0.4922114966806457,2.0
68.0,74.0,0.5274021627624368,11.0
2.0,73.0,0.6019358518987246,6.0
72.0,75.0,0.7241618505502452,34.0
76.0,77.0,0.9555206854567158,40.0
